cluster_id,node_indices,color,size
1,1;4;518;519;8;9;10;520;15;16;17;18;19;20;35;36;37;561;56;57;58;68;69;74;75;76;79;623;624;625;114;115;116;123;136;137;138;148;154;155;156;159;160;161;676;677;678;178;179;180;192;193;194;206;207;733;734;735;225;226;227;247;248;249;250;251;763;764;268;277;278;279;806;807;825;327;328;329;334;350;354;355;356;422;423;424;473;474;475;482,green,90
2,5;11;24;25;26;32;33;34;43;44;45;48;52;53;59;60;61;71;72;73;82;83;84;88;89;90;95;96;99;100;101;109;110;111;117;118;119;120;121;122;125;126;127;128;129;130;134;135;140;145;146;149;150;151;157;158;162;163;164;165;167;168;169;175;176;177;184;185;188;191;197;198;200;201;202;203;204;205;214;215;220;221;228;229;233;234;235;244;245;246;253;254;259;260;261;265;266;267;270;271;272;273;280;281;285;286;287;298;299;300;301;302;303;304;305;306;310;311;312;318;319;320;322;323;330;331;332;333;341;342;346;349;351;352;353;357;358;359;360;361;362;368;369;370;377;378;379;380;381;385;388;389;390;391;392;393;394;395;401;402;403;406;407;408;413;414;417;418;419;420;428;429;430;431;432;436;440;441;442;443;444;445;446;447;448;449;450;453;456;457;461;462;463;477;478;479;480;481;483;485;486;487;490;491;492;504;505;506;508;509;510;511;512;515;516;522;523;525;526;527;528;529;530;534;535;539;540;541;542;554;555;556;557;558;559;563;564;569;575;576;577;578;580;581;584;585;586;587;590;591;592;593;594;595;596;597;600;601;602;605;606;607;609;610;611;615;616;627;628;633;634;635;636;637;644;645;646;647;648;649;650;651;663;664;668;669;670;671;673;674;679;680;682;683;690;691;692;696;700;701;705;706;707;713;714;715;716;717;718;719;720;721;722;723;724;727;728;729;737;744;748;749;750;751;752;753;754;760;761;762;767;768;769;770;771;774;775;779;782;783;784;790;791;800;801;802;803;808;809;810;811;812;813;819;820;822;823;824;830;831;832;833;834;837;838;839;840;847;848;849;850;851;854;855;856;858;859;860;861;862;863;869;870;871;874;876;877;881;882;883;884;885;886;889,red,394
3,199;269;147;315;316;317,black,6
4,736;835;836;788;789,cyan,5
5,224;2;223;70;103;46;47;31,green,8
6,222,red,1
7,3;6;7;12;13;14;21;22;23;27;28;29;30;38;39;40;41;42;49;50;51;54;55;62;63;64;65;66;67;77;78;80;81;85;86;87;91;92;93;94;97;98;102;104;105;106;107;108;112;113;124;131;132;133;139;141;142;143;144;152;153;166;170;171;172;173;174;181;182;183;186;187;189;190;195;196;208;209;210;211;212;213;216;217;218;219;230;231;232;236;237;238;239;240;241;242;243;252;255;256;257;258;262;263;264;274;275;276;282;283;284;288;289;290;291;292;293;294;295;296;297;307;308;309;313;314;321;324;325;326;335;336;337;338;339;340;343;344;345;347;348;363;364;365;366;367;371;372;373;374;375;376;382;383;384;386;387;396;397;398;399;400;404;405;409;410;411;412;415;416;421;425;426;427;433;434;435;437;438;439;451;452;454;455;458;459;460;464;465;466;467;468;469;470;471;472;476;484;488;489;493;494;495;496;497;498;499;500;501;502;503;507;513;514;517;521;524;531;532;533;536;537;538;543;544;545;546;547;548;549;550;551;552;553;560;562;565;566;567;568;570;571;572;573;574;579;582;583;588;589;598;599;603;604;608;612;613;614;617;618;619;620;621;622;626;629;630;631;632;638;639;640;641;642;643;652;653;654;655;656;657;658;659;660;661;662;665;666;667;672;675;681;684;685;686;687;688;689;693;694;695;697;698;699;702;703;704;708;709;710;711;712;725;726;730;731;732;738;739;740;741;742;743;745;746;747;755;756;757;758;759;765;766;772;773;776;777;778;780;781;785;786;787;792;793;794;795;796;797;798;799;804;805;814;815;816;817;818;821;826;827;828;829;841;842;843;844;845;846;852;853;857;864;865;866;867;868;872;873;875;878;879;880;887;888,black,385
