Method,k,CCC_tree,Silhouette,DBI,CH,Dunn
RAWz,2,0.7899876404196704,0.23669907477570565,1.7960911397183146,213.4835157439198,0.36122925181009086
RAWz,4,0.7899876404196704,0.18752958768328587,2.05011983018879,103.46788556026806,0.29621386887524737
PCA90,2,0.7997732112069359,0.26341590988165275,1.6366098226677974,243.78261173398496,0.30103774239516756
PCA90,4,0.7997732112069359,0.1917086035344808,1.8115478604811286,106.3707511258051,0.3046191943705814
SOM20x20,2,0.7977837697425519,0.3169757606956179,1.3974738146529377,354.4559270252185,0.23311967090169022
SOM20x20,4,0.7977837697425519,0.28706701986383404,1.1697740283004783,140.53640939930006,0.25213136567857375
