Cluster,Node IDs,Dominant Label,% Purity,Total Count
1,"[110, 112, 154, 163, 166, 175, 178, 202, 206, 207, 213, 218, 246, 252, 253, 270, 277, 284, 286, 297, 304, 308, 364, 366, 377, 380, 385, 423, 452, 465, 485, 494, 496, 498, 512]",[3],45.7%,35
2,"[2, 3, 10, 18, 31, 33, 39, 70, 77, 81, 90, 100, 126, 149, 153, 176, 188, 241, 317, 321, 371, 394, 395, 397, 410, 441, 442, 471, 474, 488, 489, 500]",[3],46.9%,32
3,"[14, 34, 43, 47, 48, 61, 79, 94, 117, 119, 123, 132, 183, 193, 226, 231, 232, 258, 301, 302, 312, 324, 329, 334, 387, 391, 407, 417, 428, 450, 451, 463, 480]",[2],81.8%,33
4,"[369, 434, 436, 440, 443, 444, 445, 477, 499]",[1],33.3%,9
5,"[289, 316, 340, 361, 362, 404, 435, 455, 490]",[3],22.2%,9
6,"[282, 337, 367, 368, 378, 383, 400, 401, 439, 457, 472, 483, 507]",[1],53.8%,13
