Method,ARI,Homogeneity,Completeness,V-measure,Silhouette,Davies-Bouldin,Calinski-Harabasz,Num_Clusters,Noise_Points
K-Means,0.6201351808870379,0.659126501804901,0.659847677962776,0.659486892724918,0.458971786690024,0.8354098493935594,239.34180132491107,3,0
Hierarchical,0.6153229932145449,0.6578818079976051,0.6940248415952218,0.6754701853436886,0.445539563978574,0.805940469032997,220.2604374375409,3,0
GMM,0.9038742317748124,0.8983263672602775,0.9010648908640206,0.8996935451597475,0.37277318744464005,1.084668771203502,185.67883035841166,3,0
Spectral,0.6451422031981431,0.682361654869134,0.6968194717150502,0.6895147833731529,0.46188356357176197,0.8276894601920756,234.32555320602395,3,0
DBSCAN(eps=0.3),0.08759538435941186,0.2285652696446185,0.3557197073181676,0.27830655939065907,0.6367968532182899,0.45289993034050907,187.14879832017584,3,120
DBSCAN(eps=0.5),0.4282634768714612,0.4893503089116578,0.5103743971386381,0.4996412860238521,0.6531989921984975,0.4989837582071448,332.1597825221852,2,35
DBSCAN(eps=0.7),0.5322260962659684,0.554272095832998,0.7482405324685669,0.6368135542138186,0.6103881399866543,0.5483143932859224,297.9265587896034,2,8
DBSCAN(eps=1.0),0.5535820784912958,0.5763288083839111,0.8771705982981065,0.6956159505019279,0.5935615982741335,0.5759350471303454,270.31178539965185,2,3
GSOM,0.0,0.0,1.0,0.0,,,,1,0
GSOM+DSM,0.0,0.0,1.0,0.0,,,,1,0
